"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of SNIR per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Received Sequence number LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",,"Calculated SNRmargin in ADR LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",
206.37142362417,4.80068348315439939,206.37142362417,-125.1993165168499895,207.57142362417,0,424.06456430358,10.62641141459300082,424.06456430358,-113.3735885854100043,425.26456430358,0,490.9652408199,4.76880344015200029,490.9652408199,-119.2311965598499903,492.1652408199,0,505.54061543793,5.4025505152423001,505.54061543793,-118.5974494847600052,506.74061543793,0,543.4891577292,5.872139830615200375,543.4891577292,-121.1278601693799993,544.6891577292,0,756.48164780157,4.714359723836299285,756.48164780157,-122.2856402761599947,757.68164780157,1,774.04785331748,7.921555878584600265,774.04785331748,-116.0784441214200053,775.24785331748,0,1108.04312498055,4.15584368091769994,1108.04312498055,-122.844156319079985,1109.24312498055,0,1872.91175245007,6.47217546285950004,1872.91175245007,-117.5278245371399913,1874.11175245007,0,2741.95280284376,9.20988615060119994,2741.95280284376,-120.7901138494000005,2743.15280284376,0,17570.31875835243,5.11655980273119935,17776.74642892157,-2.54747540754249967,19284.17900825756,1.430888613202800025,19588.48448263578,-2.794398179423000157,20493.47806761224,-0.667967786956420003,21166.83193286723,-1.862946009627299828,21955.61068700995,2.235064498917299847,23760.67403264818,1.063175304817399966,26975.51248465112,-4.822510842793299425,29881.76642194103,-1.297875625961599772
207.57142362417,3.020427031197599795,207.57142362417,-125.1993165168499895,583.39061628207,1,425.26456430358,11.5515733853089983,425.26456430358,-113.3735885854100043,2048.58592348216,1,492.1652408199,2.998336309291199857,492.1652408199,-119.2311965598499903,1022.83288938517,1,506.74061543793,3.469405411259499405,506.74061543793,-118.5974494847600052,1183.17456647944,1,544.6891577292,3.865573924593499892,544.6891577292,-121.1278601693799993,1312.33665458931,1,757.68164780157,2.960983398288799845,757.68164780157,-122.2856402761599947,4105.52925205983,2,775.24785331748,6.196630322515099785,775.24785331748,-116.0784441214200053,2256.90462882179,1,1109.24312498055,2.603660581616799687,1109.24312498055,-122.844156319079985,1650.40174129285,1,1874.11175245007,4.438309115209399625,1874.11175245007,-117.5278245371399913,3526.13750728536,1,2743.15280284376,8.336593301265299485,2743.15280284376,-120.7901138494000005,3037.12494866103,1,43673.53071070481,10.36475880428199755,42170.27806534108,2.473698658078699695,39107.11263050933,2.666735818550399975,35638.91072630992,3.960172581982699375,37753.88071767472,-0.201648238884629959,35615.35111758467,1.308819734685999765,47825.26405444587,-2.56120675758449944,46053.87244231659,0.081861391807379002,51624.06413253787,12.4071721678010007,50541.33913391838,0.175105208598219984
583.39061628207,4.46932186576630029,583.39061628207,-123.4975836776199851,3207.67766641503,2,2048.58592348216,6.898257440021300335,2048.58592348216,-115.6126060198199918,2687.40293430051,2,1022.83288938517,2.377323526037200087,1022.83288938517,-120.2391171182999863,1095.49121231756,2,1183.17456647944,6.59720767097750025,1183.17456647944,-115.8063984471399972,1349.62885509667,2,1312.33665458931,6.870784172992699705,1312.33665458931,-118.629936934249997,1389.18421741761,2,4105.52925205983,15.96974007670199916,4105.52925205983,-114.9670215237599957,5962.40617256406,3,2256.90462882179,1.616706437173399895,2256.90462882179,-121.9136883246799806,2818.96722671427,2,1650.40174129285,1.704355568662599733,1650.40174129285,-124.6843979607199907,3732.5005382898,3,3526.13750728536,2.421750864544999425,3526.13750728536,-120.158705365520006,7817.37270966382,3,3037.12494866103,2.545134834781300087,3037.12494866103,-125.942892048989989,3511.81823981178,2,67012.7011902035,4.182033422905799805,66575.7833156451,-2.14798536907599934,66676.56156645545,-1.378518282007899825,53943.69108207311,-1.968889482340699707,64400.94995933848,-0.824175747003129895,61532.65855110384,0.610478220163990001,74033.89235744573,0.379678873651429935,66555.64952546312,1.659932899049499693,,,64187.33625383836,-0.36678937519395993
3207.67766641503,2.539152840735799712,3207.67766641503,-125.9531115659399911,3462.62146789937,3,2687.40293430051,2.72858446026219957,2687.40293430051,-119.6406259857599816,4375.34338219317,3,1095.49121231756,2.862879176616699427,1095.49121231756,-119.4319698031799813,1600.19111958873,3,1349.62885509667,10.64708471440500044,1349.62885509667,-113.7276929041899786,2774.03554869621,3,1389.18421741761,2.70664740757329979,1389.18421741761,-122.6756831568099806,3871.41887584453,3,5962.40617256406,4.190231333135599795,5962.40617256406,-120.777619999619986,7765.86340997607,4,2818.96722671427,3.476947254047099795,2818.96722671427,-118.5880189759699868,3365.54914985128,3,3732.5005382898,3.892853149566399805,3732.5005382898,-121.0973197890099863,5101.49417377635,4,7817.37270966382,2.292558406048799558,7817.37270966382,-120.3967959127299986,10779.65425029503,4,3511.81823981178,1.819043318900400041,3511.81823981178,-127.4015695847599825,5526.28338980186,3,,,,,86365.38563618615,-1.581001172676099737,66021.92995257574,6.497174474718500265,86090.21166811874,0.687497574689059917,78853.73781291564,0.019235081744962995,,,,,,,83045.71596838116,-2.411047041689899462
3462.62146789937,3.458798995626599637,3462.62146789937,-124.6107467580799831,4524.33500831792,4,4375.34338219317,14.68860690308200028,4375.34338219317,-112.3301939161599985,4877.62309033183,4,1600.19111958873,17.87431616004199945,1600.19111958873,-111.4777056455399981,4274.02728088988,4,2774.03554869621,1.877327032736300072,2774.03554869621,-121.2646006614199901,5081.92013292395,4,3871.41887584453,1.942550181008499956,3871.41887584453,-124.1162775345199798,4156.08270723374,4,7765.86340997607,36.52778424405799727,7765.86340997607,-111.3737667106099988,8487.77030556689,5,3365.54914985128,3.57244165720589989,3365.54914985128,-118.470348550940002,3650.61273245206,4,5101.49417377635,1.129769465920199775,5101.49417377635,-126.4701016704100021,5199.74347674232,5,10779.65425029503,1.548975054707899975,10779.65425029503,-122.099555762299985,11441.74001684001,5,5526.28338980186,1.336773073502199867,5526.28338980186,-128.7394231098099903,5665.93148897793,4,,,,,,,,,,,,,,,,,,,,
4524.33500831792,1.319375844379699897,4524.33500831792,-128.7963147140699785,5300.57763911053,6,4877.62309033183,1.446905988173299733,4877.62309033183,-122.395596859809984,5811.80840061665,5,4274.02728088988,4.349495975473899967,4274.02728088988,-117.6156106666699937,4833.98848383963,5,5081.92013292395,40.0451037123090002,5081.92013292395,-107.9745057722599876,5769.58255768859,5,4156.08270723374,1.779445985967099902,4156.08270723374,-124.4971519021299851,4406.38259870921,5,8487.77030556689,2.8855647165839997,8487.77030556689,-122.3976918101899962,8686.79276173922,6,3650.61273245206,2.303920788300399806,3650.61273245206,-120.3753245658400028,5966.36853672821,5,5199.74347674232,2.47292541874839954,5199.74347674232,-123.067889813799979,5847.69234015018,6,11441.74001684001,2.228107126376099415,11441.74001684001,-120.5206393231499926,12549.60423935934,6,5665.93148897793,5.830448396992800015,5665.93148897793,-122.3429804406599993,5882.89106198407,5,,,,,,,,,,,,,,,,,,,,
5300.57763911053,11.89331067260899737,5300.57763911053,-119.2469723649099928,9460.00201701093,7,5811.80840061665,1.251681184312900091,5811.80840061665,-123.0250627617799917,6075.38640099775,6,4833.98848383963,14.92939207622799808,4833.98848383963,-112.2595787635499955,5558.04169177406,6,5769.58255768859,8.8901577304736001,5769.58255768859,-114.5109053364499796,7134.01035633094,6,4406.38259870921,2.202512545155599346,4406.38259870921,-123.570816092379999,4540.64726206694,6,8686.79276173922,2.011019538610700147,8686.79276173922,-123.9658370987600047,9030.90966974167,7,5966.36853672821,1.014561466392100094,5966.36853672821,-123.9372163645099926,6045.61610470739,6,5847.69234015018,13.19674692509899921,5847.69234015018,-115.7953311171799833,5982.60766594072,7,12549.60423935934,7.83557033435539904,12549.60423935934,-115.05929386680998,13668.66733732111,7,5882.89106198407,5.83422388302300018,5882.89106198407,-122.3401690924000032,6119.5409050631,6,,,,,,,,,,,,,,,,,,,,
9460.00201701093,1.298908045402499926,9460.00201701093,-128.8642159318200125,9974.63040715226,8,6075.38640099775,3.017760302908799362,6075.38640099775,-119.2031525868199816,7566.58204211495,7,5558.04169177406,9.26601338013529836,5558.04169177406,-114.3310707701099883,6220.52086790403,7,7134.01035633094,12.42892851077499823,7134.01035633094,-113.0556630996800035,8284.33150524448,7,4540.64726206694,4.87670484372359956,4540.64726206694,-120.1187352872699985,6215.21363893555,7,9030.90966974167,3.757154087185799775,9030.90966974167,-121.251409934269986,10520.24400680868,8,6045.61610470739,3.753531754691399752,6045.61610470739,-118.2555990567200008,6065.58934766105,7,5982.60766594072,1.429178172308499742,5982.60766594072,-125.4491362535399895,7529.61691982864,8,13668.66733732111,1.307206324087599731,13668.66733732111,-122.8365585974899825,14009.95654926843,8,6119.5409050631,2.82925171636789939,6119.5409050631,-125.4832841197499813,7071.12488820626,7,,,,,,,,,,,,,,,,,,,,
9974.63040715226,1.945483101558799878,9974.63040715226,-127.1097253711999992,11176.51767512341,9,7566.58204211495,2.005940044636499657,7566.58204211495,-120.9768205171099845,7770.3942021183,8,6220.52086790403,1.989819320749099945,6220.52086790403,-121.0118635653699921,6923.11373750891,8,8284.33150524448,9.33155048461939881,8284.33150524448,-114.3004619001899863,8716.12494119194,8,6215.21363893555,7.86504886220449958,6215.21363893555,-118.0429857494499965,7201.00344912214,8,10520.24400680868,5.553825359042699335,10520.24400680868,-119.5540778083299922,11788.80831309859,9,6065.58934766105,10.70272033876899794,6065.58934766105,-113.705058225049981,7370.67567875182,8,7529.61691982864,2.386188240005699502,7529.61691982864,-123.22295298985,8096.90445766015,9,14009.95654926843,2.759388611941199432,14009.95654926843,-119.5918713238199867,17385.74232314024,9,7071.12488820626,10.08961918525799813,7071.12488820626,-119.9612522512699962,9045.9299856003,8,,,,,,,,,,,,,,,,,,,,
11176.51767512341,1.101660752985199826,11176.51767512341,-129.579521221709967,12306.80264503925,10,7770.3942021183,3.093715223783100032,7770.3942021183,-119.0951966556600036,8326.63422705072,9,6923.11373750891,2.39625923937549955,6923.11373750891,-120.2046619957999947,7700.20994801734,9,8716.12494119194,9.145685755983699,8716.12494119194,-114.3878372497399876,8928.91693063978,9,7201.00344912214,3.087425233765599392,7201.00344912214,-122.1040355064099852,8783.69406769978,9,11788.80831309859,1.630118129456999735,11788.80831309859,-124.8778092252100005,12754.06862596217,10,7370.67567875182,2.53059687120689957,7370.67567875182,-119.967770332509985,7646.98103829326,9,8096.90445766015,2.308196664412100132,8096.90445766015,-123.3672719090999972,11598.58136136846,12,17385.74232314024,3.349860016082700107,17385.74232314024,-118.7497334087699977,17456.89386449012,10,9045.9299856003,1.559930254037400035,9045.9299856003,-128.0689481892999875,10155.65388646948,9,,,,,,,,,,,,,,,,,,,,
12306.80264503925,9.90107474038719812,12306.80264503925,-120.0431766111099982,12640.51963278743,11,8326.63422705072,1.279062965082200072,8326.63422705072,-122.9310807576,8608.35899395107,10,7700.20994801734,6.349621816326999705,7700.20994801734,-115.9725214053100041,7958.07117000177,10,8928.91693063978,7.334886643057899375,8928.91693063978,-115.346065935690006,11001.39029575843,10,8783.69406769978,13.37890325205900048,8783.69406769978,-115.7357948679999986,9426.16009794884,10,12754.06862596217,7.305486485891700315,12754.06862596217,-118.3635085829199903,14237.26498011469,11,7646.98103829326,10.65546979899700015,7646.98103829326,-113.72427397510998,10435.40473153145,10,11598.58136136846,3.531144846557599402,11598.58136136846,-121.5208446743500016,13658.47988634172,14,17456.89386449012,1.127916850252300035,17456.89386449012,-123.4772291525299858,17957.06416920664,11,10155.65388646948,1.573581719893899938,10155.65388646948,-128.0311069820500047,12414.1834659209,10,,,,,,,,,,,,,,,,,,,,
12640.51963278743,2.396831391776299992,12640.51963278743,-126.2036251590199918,12875.4626659102,12,8608.35899395107,4.507672463840400192,8608.35899395107,-117.4604764815299797,8761.7680769405,11,7958.07117000177,3.551284872834299815,7958.07117000177,-118.496144885719985,10544.40188457082,11,11001.39029575843,19.5414302410610005,11001.39029575843,-111.0904365335699988,11053.62518942528,11,9426.16009794884,4.561208390981699145,9426.16009794884,-120.4092008540299896,10149.8093064147,11,14237.26498011469,1.470535985694299877,14237.26498011469,-125.3252434334499976,14437.42588265914,12,10435.40473153145,6.73831650786289944,10435.40473153145,-115.7144859347500012,11071.79816452043,11,13658.47988634172,3.201478127395299452,13658.47988634172,-121.9464946094399801,13954.77483887847,15,17957.06416920664,5.654615430676299655,17957.06416920664,-116.4759692602000025,19509.69800901685,12,12414.1834659209,5.48524456270729918,12414.1834659209,-122.6080400439399791,13485.73557136913,11,,,,,,,,,,,,,,,,,,,,
12875.4626659102,3.373493496773200195,12875.4626659102,-124.7192012271599987,13209.25045057287,13,8761.7680769405,10.29129884297799786,8761.7680769405,-113.8752981039399966,8882.57658642934,12,10544.40188457082,8.167848560192400215,10544.40188457082,-114.8789232308599816,13710.60644019277,12,11053.62518942528,20.45766339755199675,11053.62518942528,-110.8914397138100009,11187.52148572271,12,10149.8093064147,1.7029194796346001,10149.8093064147,-124.6880588660999927,10224.34442499539,12,14437.42588265914,3.49991986084939997,14437.42588265914,-121.5594189976099806,15567.58438710654,13,11071.79816452043,1.888209691481099728,11071.79816452043,-121.2394977762500043,12887.33093420946,12,13954.77483887847,2.382628487609100167,13954.77483887847,-123.2294366993199896,15822.91439625766,16,19509.69800901685,1.399900266176699931,19509.69800901685,-122.5390290388699835,19529.51035515498,13,13485.73557136913,1.548292692326799882,13485.73557136913,-128.1014693600000097,13592.85482231097,12,,,,,,,,,,,,,,,,,,,,
13209.25045057287,6.560573155514200375,13209.25045057287,-121.8305821742299878,13857.33043521763,14,8882.57658642934,5.19967788608679979,8882.57658642934,-116.840235595629991,9675.68614956962,13,13710.60644019277,6.008298636235299005,13710.60644019277,-116.2124848931200058,15023.26101998061,13,11187.52148572271,13.13280550063199921,11187.52148572271,-112.8164248767400006,11273.29573056562,13,10224.34442499539,6.74509006083279946,10224.34442499539,-118.7101224722800048,11799.24081302405,13,15567.58438710654,8.178477055833099,15567.58438710654,-117.8732756036600046,15664.46508207614,14,12887.33093420946,1.6402878172348001,12887.33093420946,-121.8507994068999943,12956.3582194726,13,15822.91439625766,1.921460328724999825,15822.91439625766,-124.1636857773299876,17572.38059419637,18,19529.51035515498,1.8168593114596998,19529.51035515498,-121.406787009929985,19802.6223925735,14,13592.85482231097,1.095212289354799746,13592.85482231097,-129.6050169163700043,14016.15184002822,13,,,,,,,,,,,,,,,,,,,,
13857.33043521763,2.860821607076899462,13857.33043521763,-125.4350922275299917,14240.86335432418,15,9675.68614956962,8.84080338514869976,9675.68614956962,-114.5350826780599785,10391.2482524067,15,15023.26101998061,5.250370703300399435,15023.26101998061,-116.7981003207700036,17611.8945510341,15,11273.29573056562,1.514129158008199908,11273.29573056562,-122.1983707713600035,11605.01746180442,14,11799.24081302405,3.734738268759699925,11799.24081302405,-121.277398282299998,14776.5918118349,14,15664.46508207614,2.077266844935599533,15664.46508207614,-123.8250771057199977,16255.74587412853,15,12956.3582194726,10.82912977852499731,12956.3582194726,-113.6540644158099833,12984.57063798764,14,17572.38059419637,1.199897554122199668,17572.38059419637,-126.208558319350004,18106.25337961174,19,19802.6223925735,1.881108195963800071,19802.6223925735,-121.2558622435499838,20735.38665728292,15,14016.15184002822,11.75920706766799733,14016.15184002822,-119.2962196208199823,16710.42565758068,14,,,,,,,,,,,,,,,,,,,,
